s.no,restaurant_name,restaurant_type,rate,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address,cuisine_count,price_category
33,24th Main,21,4.1,1.7649503683291907,0.5655917979843509,0,1,1798,1,JP Nagar,0.48047071246461687,3
34,29 Degrees North,68,3.9,0.15888243761286092,-0.6270040363710622,1,0,1686,14,Banaswadi,0.48047071246461687,0
35,2nd Home Restaurant,68,3.7,-0.2835884328894298,-0.08491502075496535,1,0,2050,6,BTM,0.48047071246461687,1
36,3 Leafs,21,3.7,-0.10288468043238741,0.13192058549147342,1,0,1798,23,Kaggadasapura,0.48047071246461687,1
37,3 Spice,21,3.9,-0.055597717172600626,-0.1933328238781847,1,0,1516,19,Wilson Garden,-0.3261796684571938,1
38,30 Square,68,4.2,0.6199303293957822,-0.3017506270014041,1,0,2167,6,Koramangala 5th Block,0.48047071246461687,2
39,360 Atoms Restaurant And Cafe,14,3.1,-0.29709899382079746,-0.3017506270014041,1,0,483,0,Banashankari,1.2871210933864277,2
40,36th Cross Coffee Mane,21,3.7,-0.27007787195806215,-0.08491502075496535,0,0,1516,12,BTM,-0.3261796684571938,1
41,37 China Town,21,3.5,-0.2211020885818544,0.7824274042307897,0,0,784,20,Race Course Road,2.0937714743082383,3
42,"3B's - Buddies, Bar & Barbecues",22,4.4,1.6214006584334095,1.2160986167236671,0,1,1728,6,BTM,1.2871210933864277,3
43,3G's - Gulp & Groove,6,4.1,0.7989452617364036,1.2160986167236671,1,1,1116,22,Malleshwaram,0.48047071246461687,3
44,3rd Innings,22,3.0,-0.2903437133551136,0.9992630104772284,0,0,422,8,Electronic City,1.2871210933864277,3
45,4 Mangoes,52,3.7,-0.2954101737043765,-0.7354218394942816,0,0,1189,11,Old Airport Road,-1.1328300493790044,0
46,4 Seasons Restaurant,21,3.7,0.3547855711176919,0.9992630104772284,1,1,1780,14,Kalyan Nagar,1.2871210933864277,3
47,4 States,46,3.2,-0.3122983748685861,-0.3017506270014041,0,0,1977,28,Bellandur,-1.1328300493790044,2
48,46 Ounces Brewgarden,59,2.8,-0.2515008506774316,2.300276647955861,0,1,234,8,Electronic City,0.48047071246461687,3
49,4700BC Popcorn,80,4.1,-0.22616854893111726,-0.08491502075496535,0,0,1011,29,Whitefield,-1.1328300493790044,1
50,4Foodiez,68,3.6,-0.18057040578775144,-0.5185862332478428,1,0,2050,8,Electronic City,0.48047071246461687,0
51,4Foodiez - The Restaurant,68,3.0,-0.2802107926565879,-0.3017506270014041,0,0,2110,8,Electronic City,1.2871210933864277,2
52,4K Biryani,33,3.3,-0.3122983748685861,0.34875619173791217,1,0,1516,10,HSR,-0.3261796684571938,3
53,4th Tea Block,14,4.0,-0.21434680811617057,-0.843839642617501,0,0,431,2,Jayanagar,-1.1328300493790044,0
54,5 Star Food,68,2.8,-0.2515008506774316,-0.5185862332478428,1,0,2023,9,Kammanahalli,-0.3261796684571938,0
55,50-50 EATING HOUSE,68,3.2,-0.3122983748685861,-0.9522574457407204,0,0,1988,0,Basavanagudi,-0.3261796684571938,0
56,52 Wall Street,6,3.9,0.9256067704679753,1.8666054354629835,0,0,15,6,Koramangala 6th Block,0.48047071246461687,3
57,55 Wall Street,5,3.9,2.658336209915877,1.6497698292165446,0,1,1129,1,JP Nagar,0.48047071246461687,3
58,56 Bhoga Sweets,80,3.6,-0.2329238293968011,-0.843839642617501,0,0,1408,10,HSR,-0.3261796684571938,0
59,5th Main Cafe,14,3.5,-0.29372135358795554,-0.6270040363710622,0,0,549,6,HSR,-0.3261796684571938,0
60,7 Days Restaurant,68,3.8,0.4882023603149475,-0.3017506270014041,1,0,1521,8,Electronic City,0.48047071246461687,2
61,7 Degrees North,21,3.5,-0.3004766340536394,-0.08491502075496535,0,0,1455,10,HSR,-1.1328300493790044,1
62,7 Hills Andhra Mess,58,3.4,-0.3055430944029022,-0.5185862332478428,0,0,44,11,CV Raman Nagar,-1.1328300493790044,0
63,7 Plates,21,3.5,0.5777098264852583,0.13192058549147342,1,0,1757,15,Kalyan Nagar,1.2871210933864277,1
64,7 Shanghai,68,3.5,-0.2886548932386927,-0.6270040363710622,1,0,643,8,Electronic City,-1.1328300493790044,0
65,7 Spice,68,3.4,-0.3106095547521651,-0.6270040363710622,0,0,318,14,Banaswadi,-0.3261796684571938,0
66,7 to 11 Food Court,68,3.7,-0.29203253347153457,-0.7354218394942816,1,0,1035,9,Banaswadi,1.2871210933864277,0
67,70 Brigade - Iris Hotel,21,3.9,-0.14172754311006944,0.9992630104772284,0,1,742,4,Brigade Road,0.48047071246461687,3
68,7Biryanis,21,3.2,-0.3122983748685861,0.13192058549147342,1,0,45,14,Nagawara,-0.3261796684571938,1
69,7th Heaven,0,3.6,-0.2903437133551136,-0.5185862332478428,0,0,213,24,New BEL Road,-0.3261796684571938,0
70,8 Slice,33,3.7,-0.1940809667191191,0.13192058549147342,1,0,1861,4,Koramangala 6th Block,-1.1328300493790044,1
71,9 Bowls,68,2.8,-0.2515008506774316,-0.08491502075496535,1,0,1157,10,Koramangala 1st Block,1.2871210933864277,1
72,90's,68,2.8,-0.2515008506774316,-0.7354218394942816,0,0,1455,10,HSR,-1.1328300493790044,0
73,90's Beer Cafe - Hotel Millennium Plaza,5,3.0,-0.3072319145193232,0.9992630104772284,0,0,1109,8,Electronic City,-1.1328300493790044,3
74,90's Cafe,68,2.8,-0.2515008506774316,-0.08491502075496535,0,0,1030,13,JP Nagar,-0.3261796684571938,1
75,99 Caffe,68,3.6,-0.14003872299364847,-0.6270040363710622,1,0,2050,5,Brookefield,0.48047071246461687,0
76,99 Pancakes,34,4.1,-0.24981203056101067,-0.843839642617501,1,0,978,4,Church Street,-0.3261796684571938,0
77,99 Variety Dosa & Pav Bhaji,68,3.8,-0.29203253347153457,-0.6270040363710622,1,0,2080,17,Koramangala 6th Block,0.48047071246461687,0
78,99 Variety Dosa and Pav Bhaji,68,4.0,-0.14848282357575326,-0.6270040363710622,1,0,2080,6,HSR,0.48047071246461687,0
79,99 Variety Dose-Biryanis-Starters,80,2.8,-0.2515008506774316,-0.5185862332478428,1,0,2072,10,HSR,1.2871210933864277,0
80,99Foods,68,3.4,-0.26501141160879926,-0.3017506270014041,0,0,371,23,Marathahalli,1.2871210933864277,2
81,9D Foods,68,4.0,0.45442595798652835,-0.3017506270014041,1,0,1843,5,Marathahalli,-0.3261796684571938,2
82,9th Cross Cafe,14,3.6,-0.2987878139372184,0.023502782368254035,0,0,587,11,Jeevan Bhima Nagar,0.48047071246461687,1
83,A 1 Pizza and Food,33,2.8,0.037287389230552005,-0.5185862332478428,1,0,1870,11,Old Airport Road,0.48047071246461687,0
84,A Bar,5,3.3,-0.28696607312227174,0.13192058549147342,0,0,1640,6,HSR,-0.3261796684571938,1
85,A Hole Lotta Love Cafe,14,4.3,4.529548898910297,0.13192058549147342,1,0,436,16,Koramangala 5th Block,2.0937714743082383,1
86,A Little For Love,0,3.4,-0.2987878139372184,-0.41016843012462345,0,0,204,14,Hennur,-1.1328300493790044,2
87,A M Biryani Hotel,68,3.3,-0.30892073463574415,-0.5185862332478428,1,0,1541,1,Bannerghatta Road,1.2871210933864277,0
88,A Southern Fair,21,3.0,-0.28696607312227174,0.4571739948611315,1,0,391,29,Whitefield,0.48047071246461687,3
89,A Today Thick Shakes,9,3.2,-0.30385427428648126,-0.7354218394942816,0,0,262,13,Koramangala 5th Block,-1.1328300493790044,0
90,A.M New Punjab Food Corner,68,3.5,-0.2835884328894298,-0.41016843012462345,1,0,1516,6,Koramangala 1st Block,-0.3261796684571938,2
91,A1 Ambur Dum Biryani And Parota Centre,68,3.2,-0.3122983748685861,-0.5185862332478428,0,0,307,26,Basaveshwara Nagar,-1.1328300493790044,0
92,A1 Biriyani Point,68,3.0,-0.30216545417006035,-0.7354218394942816,0,0,307,22,Seshadripuram,-1.1328300493790044,0
93,A1 Garam Masala,21,3.6,-0.27683315242374595,-0.08491502075496535,1,0,1463,12,Kanakapura Road,0.48047071246461687,1
94,A1 Hot Dum Biryani,68,3.2,-0.3122983748685861,-0.843839642617501,0,0,307,29,Whitefield,-1.1328300493790044,0
95,A1 Spice Inn,21,3.5,-0.24136792997890588,-0.08491502075496535,0,0,324,22,Yeshwantpur,2.0937714743082383,1
96,A2B - Adyar Ananda Bhavan,21,2.5,0.5996644879987306,-0.3017506270014041,1,0,2064,29,Whitefield,2.0937714743082383,2
97,A2B Veg - Adyar Ananda Bhavan,21,2.7,-0.1552381040414371,-0.3017506270014041,1,0,2028,2,Basavanagudi,0.48047071246461687,2
98,A3 Nuwang Kitchen,68,3.7,-0.2481232104445897,-0.5185862332478428,1,0,718,11,Ejipura,-0.3261796684571938,0
99,Aaccord Restaurant,21,2.8,-0.2515008506774316,0.13192058549147342,0,0,909,6,BTM,0.48047071246461687,1
100,Aadhya Hotel,22,3.3,-0.3106095547521651,0.5655917979843509,1,0,2052,0,Basavanagudi,1.2871210933864277,3
101,Aadvik Nightfood,33,3.6,-0.28189961277300885,-0.41016843012462345,1,0,1011,9,Frazer Town,-1.1328300493790044,2
102,Aagaman Veg,21,2.8,-0.2515008506774316,0.7824274042307897,1,0,1617,8,Electronic City,0.48047071246461687,3
103,Aaha,68,3.6,-0.16199338450712092,-0.5185862332478428,1,0,1516,23,Brookefield,-0.3261796684571938,0
104,Aaha Andhra,21,3.4,-0.2211020885818544,0.7824274042307897,0,0,53,23,Marathahalli,0.48047071246461687,3
105,Aahar Cafe,68,3.5,-0.2515008506774316,-0.9522574457407204,0,0,1977,2,Basavanagudi,-1.1328300493790044,0
106,Aahar Vihar,68,4.0,-0.20421388741764482,-0.6270040363710622,1,0,1455,5,Marathahalli,-1.1328300493790044,0
107,Aahara Vihar,68,3.5,-0.29709899382079746,-0.5185862332478428,0,0,2050,22,Malleshwaram,0.48047071246461687,0
108,Aaharam,68,4.0,-0.2092803477669077,-0.41016843012462345,0,0,718,10,Koramangala 1st Block,-0.3261796684571938,2
109,Aalishan Restaurant & Caterer,21,3.5,1.1806186080475398,0.24033838861469278,1,0,1733,6,Koramangala 7th Block,-0.3261796684571938,3
110,Aami Bangali,21,3.0,-0.20759152765048675,0.34875619173791217,1,0,236,6,Koramangala 5th Block,-1.1328300493790044,3
111,Aami Kolkata,33,3.3,-0.3106095547521651,0.13192058549147342,0,0,236,1,Bannerghatta Road,-1.1328300493790044,1
112,Aao G Khao G,68,3.5,-0.3004766340536394,-0.7354218394942816,1,0,1516,10,HSR,-0.3261796684571938,0
113,Aapni Rasoi,68,3.2,-0.10457350054880837,-0.3017506270014041,1,0,1455,3,Bellandur,-1.1328300493790044,2
114,Aaranya Restaurant,21,3.4,0.03897620934697296,0.5655917979843509,1,0,1596,6,HSR,0.48047071246461687,3
115,Aarti Paratha & Rolls Corner,68,3.6,-0.29372135358795554,-0.7354218394942816,1,0,1672,24,New BEL Road,-0.3261796684571938,0
116,Aarya Pork Hotel,68,3.3,-0.3004766340536394,-0.5185862332478428,0,0,1990,6,BTM,0.48047071246461687,0
117,Aashirvaad Restaurant,68,3.1,0.10146255365454837,-0.5185862332478428,1,0,1762,5,Marathahalli,0.48047071246461687,0
118,Aashish Foods,68,2.7,-0.2599449512595364,-0.843839642617501,1,0,1455,5,Brookefield,-1.1328300493790044,0
119,Aasife & Brothers Biriyani Centre,21,3.8,-0.11639524136375506,0.13192058549147342,1,0,383,6,HSR,1.2871210933864277,1
120,Aastha Bengali Mess,68,3.9,-0.09781822008312455,-0.6270040363710622,1,0,655,22,Yeshwantpur,-0.3261796684571938,0
121,Aata's Kitchen,68,2.8,-0.2515008506774316,-0.6270040363710622,1,0,2046,6,Koramangala 1st Block,-0.3261796684571938,0
122,Aathithya,21,3.1,-0.29203253347153457,1.2160986167236671,0,0,1647,4,Infantry Road,0.48047071246461687,3
123,Aathurar,21,3.2,0.6503290914913593,0.13192058549147342,1,0,636,11,Jeevan Bhima Nagar,1.2871210933864277,1
124,Abbabi Chicken,68,3.7,-0.09275175973386167,-0.7354218394942816,0,0,1011,28,Bellandur,-1.1328300493790044,0
125,ABC Grand,21,3.5,-0.22785736904753823,-0.3017506270014041,0,0,65,25,Indiranagar,0.48047071246461687,2
126,Abhiruchi,21,3.8,-0.042087156241232965,0.24033838861469278,0,0,86,14,Kammanahalli,1.2871210933864277,3
127,Abhiruchi Andhra Mess,58,3.1,-0.21603562823259154,-0.5185862332478428,1,0,59,29,Whitefield,0.48047071246461687,0
128,Abhiruchi Hotel,21,3.2,-0.2987878139372184,-0.08491502075496535,1,0,1798,6,Bommanahalli,0.48047071246461687,1
129,Abhiruchi Moonlight,80,3.3,-0.3122983748685861,-0.5185862332478428,1,0,1455,6,Bommanahalli,-1.1328300493790044,0
130,Abhiruchi Restaurant,21,3.4,-0.3106095547521651,-0.3017506270014041,1,0,78,3,Sarjapur Road,0.48047071246461687,2
131,AB's - Absolute Barbecues,21,4.6,2.2175541595300072,1.8666054354629835,0,1,1006,14,Kalyan Nagar,1.2871210933864277,3
132,Absolute Chinese,68,3.8,0.03390974899771009,-0.1933328238781847,1,0,691,22,Rajajinagar,0.48047071246461687,1
133,Absolute Shawarma,80,2.8,-0.2515008506774316,-0.843839642617501,1,0,1337,5,Brookefield,-1.1328300493790044,0
134,Absolute Waffles,34,3.9,-0.23630146962964302,-0.7354218394942816,1,0,976,22,New BEL Road,-0.3261796684571938,0
135,Aburrahaman,33,2.8,-0.2515008506774316,-0.3017506270014041,0,0,1798,11,Thippasandra,0.48047071246461687,2
136,Abzain Paradise,68,2.9,-0.2481232104445897,-0.5185862332478428,0,0,1455,24,Sanjay Nagar,-1.1328300493790044,0
137,Achayyan's,68,3.8,0.36491849181621766,-0.41016843012462345,1,0,1321,11,Indiranagar,-0.3261796684571938,2
138,Ackley Kitchen,68,3.6,-0.2633225914923783,-0.08491502075496535,1,0,1053,23,Kaggadasapura,0.48047071246461687,1
139,Adarsh Bakery,0,3.1,-0.30216545417006035,-0.5185862332478428,0,0,220,8,Electronic City,-0.3261796684571938,0
140,Adda,68,3.3,-0.3106095547521651,-0.5185862332478428,0,0,1977,2,Shanti Nagar,-1.1328300493790044,0
141,Addhuri Udupi Bhojana,68,3.7,-0.17043748508922568,-0.5185862332478428,0,0,2046,0,Banashankari,-0.3261796684571938,0
142,Adiga's,68,3.3,-0.22616854893111726,-0.843839642617501,0,0,1977,2,Jayanagar,-1.1328300493790044,0
143,Adi's Cake N Cafe,0,3.3,-0.3122983748685861,-0.3017506270014041,0,0,204,6,Bannerghatta Road,-1.1328300493790044,2
144,Adithya,21,3.9,-0.018443674611339573,-0.1933328238781847,1,0,2050,1,JP Nagar,0.48047071246461687,1
145,Adithya Family Restaurant,68,3.7,-0.2734555121909041,-0.6270040363710622,0,0,1977,6,BTM,-1.1328300493790044,0
146,Adithya Tiffin Centre,80,2.8,-0.2515008506774316,-0.7354218394942816,0,0,1455,4,Shanti Nagar,-1.1328300493790044,0
147,Adithya Veg,68,3.3,-0.30216545417006035,-0.5185862332478428,0,0,2003,2,Jayanagar,-0.3261796684571938,0
148,Aditya Delights,68,3.7,-0.21941326846543344,-0.5185862332478428,0,0,736,24,New BEL Road,0.48047071246461687,0
149,Aditya Sweets,77,3.7,-0.2835884328894298,-0.7354218394942816,1,0,1401,5,Whitefield,-0.3261796684571938,0
150,Aditya Uphar,68,3.5,-0.2683890518416412,-0.7354218394942816,0,0,2009,12,JP Nagar,0.48047071246461687,0
151,Adukkala Restaurant,21,2.9,-0.10288468043238741,0.13192058549147342,1,0,1288,15,Banaswadi,-1.1328300493790044,1
152,Adupadi,68,2.9,-0.27683315242374595,-0.1933328238781847,0,0,1997,29,Whitefield,-0.3261796684571938,1
153,Advika Briyani Center,33,3.2,-0.30216545417006035,-0.5185862332478428,0,0,307,12,JP Nagar,-1.1328300493790044,0
154,Adya Hotel,68,3.3,-0.3122983748685861,-0.3017506270014041,0,0,2050,8,Electronic City,0.48047071246461687,2
155,Adyar Anand Bhavan Sweets,68,2.8,-0.2515008506774316,-0.7354218394942816,0,0,2062,8,Electronic City,1.2871210933864277,0
156,Adyar Ananda Bhavan - Sweets,80,3.4,-0.30892073463574415,-0.7354218394942816,1,0,1399,6,BTM,-0.3261796684571938,0
157,Adyar Ananda Bhavan Sweets,80,3.6,-0.3122983748685861,-0.7354218394942816,1,0,1399,12,JP Nagar,-0.3261796684571938,0
158,Afghani Tandoori Hub,68,3.6,-0.2954101737043765,-0.3017506270014041,1,0,99,6,BTM,-0.3261796684571938,2
159,Afoozoo - Ginger Hotel,21,3.5,-0.2515008506774316,0.5655917979843509,0,0,1516,5,Whitefield,-0.3261796684571938,3
160,Afrina's Kitchen,80,3.4,-0.30385427428648126,-0.6270040363710622,1,0,1056,9,Kammanahalli,-0.3261796684571938,0
161,Agarwal Food Service,33,3.5,-0.29203253347153457,-0.3017506270014041,1,0,1537,10,HSR,0.48047071246461687,2
162,Agent Jack's Bar,5,4.0,0.31763152855643084,1.6497698292165446,0,1,924,14,Kalyan Nagar,0.48047071246461687,3
163,Agraharaa,68,2.8,-0.2515008506774316,-0.843839642617501,0,0,1977,16,Koramangala 6th Block,-1.1328300493790044,0
164,Agraharam Meal,80,3.7,-0.21603562823259154,-0.5185862332478428,0,0,1783,23,Kaggadasapura,-0.3261796684571938,0
165,Aha Juice Bar,9,3.6,-0.29709899382079746,-0.7354218394942816,0,0,270,1,BTM,-0.3261796684571938,0
166,Ahaan Restaurant,33,2.8,-0.19070332648627716,-0.5185862332478428,1,0,1516,9,RT Nagar,-0.3261796684571938,0
167,AhimsaAmrit Green Cafe,21,3.4,-0.30385427428648126,0.5655917979843509,0,0,1168,11,Indiranagar,0.48047071246461687,3
168,Ahmad's Chicken Hut,68,3.2,-0.30385427428648126,-0.7354218394942816,0,0,1516,14,Banaswadi,-0.3261796684571938,0
169,Ahmed's Little Hut,68,2.8,-0.2515008506774316,-0.6270040363710622,1,0,1011,1,BTM,-1.1328300493790044,0
170,Ahmeds Takeaway Restaurant,80,2.8,-0.2515008506774316,-0.6270040363710622,0,0,1516,9,Frazer Town,-0.3261796684571938,0
171,Aioli,21,4.2,1.0032924958233393,1.8666054354629835,0,1,1379,14,Kalyan Nagar,1.2871210933864277,3
172,Airlines Hotel,68,4.0,1.1451533856026996,-0.3017506270014041,1,0,2080,4,Lavelle Road,0.48047071246461687,2
173,Aisha Tharavad,68,3.5,-0.2515008506774316,-0.3017506270014041,0,0,2033,18,Ejipura,-0.3261796684571938,2
174,Aishwarya,41,3.3,-0.30892073463574415,-0.1933328238781847,0,0,718,29,Whitefield,-0.3261796684571938,1
175,Aishwarya Parkland,21,2.9,-0.21941326846543344,-0.08491502075496535,0,0,718,1,Bannerghatta Road,-0.3261796684571938,1
176,Aishwarya Sweets,77,3.6,-0.2785219725401669,-0.6270040363710622,1,0,1408,22,Rajajinagar,-0.3261796684571938,0
177,Aishwarya Uphar,68,2.8,-0.2515008506774316,-0.843839642617501,0,0,2046,4,Ulsoor,-0.3261796684571938,0
178,Ajwa Thalassery Biryani,68,3.9,-0.2481232104445897,-0.08491502075496535,1,1,392,3,Sarjapur Road,-0.3261796684571938,1
179,Akkad Bakkad,21,3.9,-0.197458606951961,0.13192058549147342,1,1,1516,8,Electronic City,-0.3261796684571938,1
180,AKS Family Dhaba And Restaurant,68,3.6,-0.2515008506774316,-0.08491502075496535,1,0,1760,23,Marathahalli,0.48047071246461687,1
181,Akshara,21,3.8,-0.2481232104445897,0.34875619173791217,1,0,1798,8,Electronic City,0.48047071246461687,3
182,Akshatha Nati Style,68,3.7,-0.2852772530058508,-0.08491502075496535,0,0,2009,26,Vijay Nagar,0.48047071246461687,1
183,Akshaya Bar And Restaurant,22,2.8,-0.2515008506774316,0.13192058549147342,1,0,1810,6,Koramangala 1st Block,1.2871210933864277,1
184,AKSHAYA BIRYANI,68,3.6,-0.2852772530058508,-0.5185862332478428,1,0,364,3,Sarjapur Road,-0.3261796684571938,0
185,Akshaya Deluxe,21,4.0,0.2483899037831716,-0.08491502075496535,1,0,1612,24,New BEL Road,1.2871210933864277,1
186,Akshaya Donne Biriyani,68,3.0,-0.2531896707938526,-0.5185862332478428,1,0,398,12,JP Nagar,0.48047071246461687,0
187,Akshaya Family Restaurant,68,3.2,-0.3122983748685861,-0.843839642617501,1,0,2046,14,Banaswadi,-0.3261796684571938,0
188,Akshaya Grand,21,3.4,-0.27007787195806215,0.4571739948611315,1,0,1455,6,BTM,-1.1328300493790044,3
189,Akshaya Sambrama Veg Restaurant,68,3.2,-0.29709899382079746,-0.7354218394942816,0,0,2003,7,Vasanth Nagar,-0.3261796684571938,0
190,Akss - India Reimagined,21,4.2,0.11666193470233698,2.7339478604487386,0,1,1417,22,Sadashiv Nagar,-0.3261796684571938,3
191,Al Amal Cafe,20,4.0,-0.1940809667191191,-0.5185862332478428,0,0,549,14,Kammanahalli,-0.3261796684571938,0
192,Al Amanah Cafe,68,4.4,2.067249169168542,-0.5185862332478428,1,0,1396,9,Kammanahalli,0.48047071246461687,0
193,Al Ameen Rolls Corner,68,3.7,-0.29203253347153457,-0.7354218394942816,0,0,1897,14,Kammanahalli,-1.1328300493790044,0
194,Al Barack Cafetaria,68,3.6,-0.2852772530058508,-0.5185862332478428,0,0,98,14,Banaswadi,-1.1328300493790044,0
195,Al Daaz,21,4.2,0.6385073506764126,0.023502782368254035,1,0,1644,3,HSR,0.48047071246461687,1
196,Al Diwan Biryanis And More,80,3.2,-0.2987878139372184,-0.5185862332478428,1,0,307,13,Basavanagudi,-1.1328300493790044,0
197,Al Ghani Resetaurant,68,3.3,-0.3122983748685861,-0.3017506270014041,0,0,1425,15,Kammanahalli,-0.3261796684571938,2
198,Al Habibi Restaurant,68,3.5,-0.2903437133551136,-0.5185862332478428,1,0,1516,6,BTM,-0.3261796684571938,0
199,Al Hayath,68,3.5,-0.29203253347153457,-0.7354218394942816,0,0,1516,17,BTM,-0.3261796684571938,0
200,Al Hayath Ambur Biryani,68,3.3,-0.30385427428648126,-0.7354218394942816,0,0,307,16,Ejipura,-1.1328300493790044,0
201,Al Karim,21,3.7,-0.16705984485638378,-0.3017506270014041,0,0,1442,15,Kalyan Nagar,1.2871210933864277,2
202,Al Khaleej Snacks Corner,68,2.8,-0.2515008506774316,-0.7354218394942816,0,0,1339,2,Jayanagar,0.48047071246461687,0
203,Al Khansah,21,3.9,0.30580978774148415,0.023502782368254035,1,0,361,3,Bellandur,2.0937714743082383,1
204,Al Khwaja,21,3.0,-0.29709899382079746,-0.3017506270014041,0,0,1516,3,Bellandur,-0.3261796684571938,2
205,Al Madhina Roll House,68,3.4,-0.30892073463574415,-0.5185862332478428,0,0,1516,15,Kalyan Nagar,-0.3261796684571938,0
206,Al Madina Family Restaurant,68,2.8,-0.2515008506774316,-0.08491502075496535,0,0,1788,2,City Market,0.48047071246461687,1
207,Al Madina Roll House,68,3.6,-0.29203253347153457,-0.843839642617501,1,0,307,14,Kalyan Nagar,-1.1328300493790044,0
208,Al Manar,68,2.8,-0.2515008506774316,-0.3017506270014041,0,0,2050,19,Wilson Garden,0.48047071246461687,2
209,Al Noor,68,3.7,-0.2835884328894298,-0.41016843012462345,0,0,1528,4,Shivajinagar,1.2871210933864277,2
210,Al Sadique,68,3.9,-0.006621933796392873,-0.1933328238781847,1,0,1748,26,Magadi Road,1.2871210933864277,1
